id,publisher,title,author,article_url,tickers,amp_url,image_url,description,keywords,sentiment,date,time
rHYPs-UNybcfTGof0g3bkqHkaA4KA5z1UbSPJ7gmaaQ,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/benzinga.ico'}",Elon Musk Says Twitter Refusing To Cough Up Spam Numbers: They're Being 'Very Suspicious',Bibhu Pattnaik,https://www.benzinga.com/news/22/05/27337474/elon-musk-and-his-tryst-with-the-twitter-spam-the-saga-goes-on,"['TSLA', 'TWTR']",https://www.benzinga.com/amp/content/27337474,https://cdn.benzinga.com/files/images/story/2022/05/21/musk_twitter_bots.jpg?width=1200&height=800&fit=crop,"Tesla Inc (NASDAQ: TSLA) CEO Elon Musk seems to be tacitly delaying the process of moving forward with his $44 billion offer for Twitter Inc (NYSE: TWTR). 
He is now focusing his attention on digging out how the social media giant handles so-called automated bots. 
During a recent interview, Musk said that fake users make up at least 20% of all Twitter accounts, possibly as high as 90%.   
However, Twitter CEO Parag Agrawal responded that spam accounts make up fewer than 5% of total users. 
One of Musk’s followers said that Twitter has made it much more difficult to report spam in a recent Twitter interaction.
Twitter has made it way harder to report spam. It ...","['News', 'Top Stories', 'Tech']",-0.06424242424242423,2022-05-21,19:39:28
eYUSHsraFoKd8y4OiDtesI8pSbne2M4XDzjq7vmVRfw,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Why Twitter Stock Fell This Week,newsfeedback@fool.com (Daniel Sparks),https://www.fool.com/investing/2022/05/21/why-twitter-stock-fell-this-week/,"['TWTR', 'TSLA']",No URL provided,https://g.foolcdn.com/editorial/images/681359/twitter-stock-down-this-week.jpg,Is the company's $44 billion deal at risk of not closing?,['investing'],0.0,2022-05-21,12:16:04
LMfdls7oU_GPgoSbFgq2xvW2bj0QwgWWD8SwHVAMEL4,"{'name': 'Seeking Alpha', 'homepage_url': 'https://seekingalpha.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/seekingalpha.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/seekingalpha.ico'}","S&P 500 Earnings Update: Earnings Yield Above 6% For First Time Since March, 2020","Brian Gilmartin, CFA",https://seekingalpha.com/article/4513558-sp500-earnings-update-earnings-yield-above-6-percent-first-time-since-march-2020,"['WMT', 'TSLA', 'TGT', 'BAPR', 'BAUG', 'BJUL', 'BJUN', 'BMAR', 'BMAY', 'BOCT', 'BUFF', 'CATH', 'EFIV', 'EPS', 'FTA', 'HIBL', 'HIBS', 'IVE', 'IVV', 'IVW', 'KNG', 'NOBL', 'NVQ', 'PAPR', 'PAUG', 'PBP', 'PJAN', 'PJUN', 'PUTW', 'QDIV', 'QVML', 'RPG', 'RPV', 'RSP', 'RWL', 'RYT', 'SDS', 'SH', 'SNPE', 'SPDN', 'SPDV', 'SPGP', 'SPHB', 'SPHD', 'SPHQ', 'SPLG', 'SPLV', 'SPMO', 'SPMV', 'SPUS', 'SPUU', 'SPVM', 'SPVU', 'SPXE', 'SPXL', 'SPXN', 'SPXS', 'SPXT', 'SPXU', 'SPXV', 'SPY', 'SPYD', 'SPYG', 'SPYV', 'SPYX', 'SSO', 'SSPY', 'UAUG', 'UJAN', 'UMAR', 'UMAY', 'UOCT', 'UPRO', 'USMC', 'VOO', 'VOOG', 'VOOV', 'VXX', 'VXZ', 'XLG', 'XRLV', 'XVV', 'XYLD', 'XYLG']",https://seekingalpha.com/amp/article/4513558-sp500-earnings-update-earnings-yield-above-6-percent-first-time-since-march-2020,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1323094570/image_1323094570.jpg?io=getty-c-w750,The S&P 500 earnings yield is 6.03% vs last week’s 5.85% and the start of the 2022’s 4.5% – 4.8%; Walmart’s earnings weight is likely a lot larger than its market cap weight.,No keywords,0.0,2022-05-21,04:00:00
PsNkJVaCAXki25-hZcJk2irqOky8s5cNOypZqHqgrz4,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Why Tesla Stock Was Slammed on Friday,newsfeedback@fool.com (Daniel Sparks),https://www.fool.com/investing/2022/05/20/why-tesla-stock-was-slammed-on-friday/,"['TSLA', 'TWTR']",No URL provided,https://g.foolcdn.com/editorial/images/681336/why-tsla-stock-is-down.jpg,The electric-car maker's stock has been getting hammered along with many other growth stocks.,['investing'],0.1875,2022-05-20,22:56:26
nMdkN0UNxwOrP0VLjCpYzR6xq-rzxS-5uM3qKEQsftE,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/benzinga.ico'}","S&P 500 Falls For 7th Consecutive Week Amid Ongoing Inflation, Federal Reserve Rate Hike Fears",Henry Khederian,https://www.benzinga.com/news/22/05/27332539/s-p-500-falls-for-7th-consecutive-week-amid-ongoing-inflation-federal-reserve-rate-hike-fears,"['DIA', 'SPY', 'ROST', 'AMT', 'DE', 'LLY', 'VFC', 'TSLA', 'QQQ']",https://www.benzinga.com/amp/content/27332539,https://cdn.benzinga.com/files/images/story/2022/05/20/stock-1863880_1_0.jpg?width=1200&height=800&fit=crop,"U.S. indices rebounded off session lows Friday to finish mixed. Markets at large traded lower this week amid a continued sell off in stocks following recent earnings from retail companies. Concerns over recent inflation data and further Federal Reserve policy tightening also continue to weigh on stocks.
The Nasdaq composite, S&P 500 and Dow Jones are now lower by 28.28%, 18.66% and 14.52%, respectively, on a year-to-date basis amid the ongoing market selloff.

The Nasdaq composite finished lower by 0.3% to 11,354; The Invesco QQQ Trust Series 1 (NASDAQ: QQQ) lost 0.31% to $288.68.
The S&P 500 traded higher by 0.02% to 3,901; ...Full story available on Benzinga.com","['News', 'After-Hours Center', 'Markets', 'Movers', 'Trading Ideas']",0.09603174603174604,2022-05-20,20:17:20
SJx0D6UFiHCERvCbRBlIhzhFZSQNmu1gyj-7HquAyPM,"{'name': 'Zacks Investment Research', 'homepage_url': 'https://www.zacks.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/zacks.png', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/zacks.ico'}",Why Is Tesla (TSLA) Down 29.7% Since Last Earnings Report?,Zacks Equity Research,https://www.zacks.com/stock/news/1927321/why-is-tesla-tsla-down-297-since-last-earnings-report,['TSLA'],https://www.zacks.com/amp/stock/news/1927321/why-is-tesla-tsla-down-297-since-last-earnings-report,https://staticx-tuner.zacks.com/images/default_article_images/default235.jpg,Tesla (TSLA) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,No keywords,0.0,2022-05-20,17:01:00
EmwVEpvvJT9fe3Uea3aWvPAz03KJBduc4KbaDy95_Xk,"{'name': 'MarketWatch', 'homepage_url': 'https://www.marketwatch.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/marketwatch.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/marketwatch.ico'}",Weekend reads: Retail troubles and how to handle this scary stock market,MarketWatch,https://www.marketwatch.com/story/weekend-reads-retail-troubles-and-how-to-handle-this-scary-stock-market-11653058912,"['TGT', 'HD', 'LOW', 'COMP', 'TSLA', 'TWTR', 'CFG']",https://www.marketwatch.com/amp/story/weekend-reads-retail-troubles-and-how-to-handle-this-scary-stock-market-11653058912,https://images.mktw.net/im-548471/social,"Also, retirement locations and planning and how a regional bank went national using the iPhone.",No keywords,0.0,2022-05-20,15:01:00
FSZNsvbD4TdylD9nHD8Pp2q4_Jmc_cm6dLUWJW970IE,"{'name': 'Benzinga', 'homepage_url': 'https://www.benzinga.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/benzinga.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/benzinga.ico'}",Shanghai Starts Lifting Lockdown: What Is Tesla Going To Do With Its Employees?,Shanthi Rexaline,https://www.benzinga.com/news/22/05/27318027/shanghai-starts-lifting-lockdown-but-tesla-wants-employees-to-stay-in-factory-bubble-until-mid-june,['TSLA'],https://www.benzinga.com/amp/content/27318027,https://cdn.benzinga.com/files/images/story/2022/05/20/hyunwon-jang-njubfl1oc3y-unsplash.jpg?width=1200&height=800&fit=crop,"Shanghai is emerging out of a six-week lockdown, although the easing of restrictions is being implemented gradually. Tesla Inc (NASDAQ: TSLA) has planned to take a measured approach with respect to Giga Shanghai reopening, according to a report.
What Happened:  Tesla is planning to maintain its factory operations in China under a closed-loop system at least until mid-June, Bloomberg reported, citing people familiar with the matter.
The company has been keeping its Giga Shanghai employees in a factory bubble ever since the unit reopened on April 18 following a nearly three-week-long shutdown necessitated by local authorities amid the COVID-19 resurgence.
Under the closed-loop system, workers were ferried to the manufacturing plant and made to live and work within the premises, with regular COVID checks.
The company continues to run a one-shift production schedule since the restart, rendering the daily production rate at 1,200 units.
A Reuters report from earlier this week suggested that ...","['News', 'Global', 'Tech', 'Media']",0.0345959595959596,2022-05-20,14:27:42
_ZLRxh_RnebD8wciXEK0TdtSbS6jEMYVI63J1NlJdMQ,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Is Now the Time to Buy Electric Vehicle Stocks?,newsfeedback@fool.com (Travis Hoium),https://www.fool.com/investing/2022/05/20/is-now-the-time-to-buy-electric-vehicle-stocks/,"['RIVN', 'GM', 'TSLA', 'PTRA']",No URL provided,https://g.foolcdn.com/editorial/images/680036/car-being-charged-outside.jpg,"EV stocks have been crushed along with growth stocks, and that could be an opportunity for investors.",['investing'],-0.1,2022-05-20,14:02:00
e4tdJl2xfNW5Eb9L_stRVQ7baXUky2Hb0wsDTw8w22k,"{'name': 'The Motley Fool', 'homepage_url': 'https://www.fool.com/', 'logo_url': 'https://s3.polygon.io/public/assets/news/logos/themotleyfool.svg', 'favicon_url': 'https://s3.polygon.io/public/assets/news/favicons/themotleyfool.ico'}",Looking for the Next Tesla? There Won't Be One,newsfeedback@fool.com (Jeremy Bowman),https://www.fool.com/investing/2022/05/20/looking-for-the-next-tesla-there-wont-be-one/,"['TSLA', 'NFLX', 'AAPL', 'F', 'AMZN', 'GM', 'NIO', 'NKLA', 'LCID', 'RIVN', 'GGPI']",No URL provided,https://g.foolcdn.com/editorial/images/677484/tesla-model-s.jpeg,At least not in electric vehicles.,['investing'],-0.3,2022-05-20,13:21:00
